iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TTE","TOTALENERGIES","Energy","Equity","1,654,454.98","0.73","1,654,454.98","25,341.00","65.29","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","1,640,161.06","0.73","1,640,161.06","11,856.00","138.34","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"BXB","BRAMBLES LTD","Industrials","Equity","1,633,532.67","0.72","1,633,532.67","106,691.00","15.31","Australia","Asx - All Markets","USD","1.50","AUD","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","1,614,984.85","0.71","1,614,984.85","75,700.00","21.33","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"G1A","GEA GROUP AG","Industrials","Equity","1,613,312.37","0.71","1,613,312.37","23,766.00","67.88","Germany","Xetra","USD","0.85","EUR","-"
"SAN","BANCO SANTANDER SA","Financials","Equity","1,587,534.96","0.70","1,587,534.96","134,233.00","11.83","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","1,578,440.92","0.70","1,578,440.92","64,320.00","24.54","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"UBSG","UBS GROUP AG","Financials","Equity","1,551,690.20","0.69","1,551,690.20","33,261.00","46.65","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","1,514,760.28","0.67","1,514,760.28","47,100.00","32.16","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","1,511,465.00","0.67","1,511,465.00","10,689.00","141.40","Germany","Xetra","USD","0.85","EUR","-"
