iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CYBR","CYBER ARK SOFTWARE LTD","Information Technology","Equity","467,916.94","0.21","467,916.94","1,049.00","446.06","Israel","NASDAQ","USD","1.00","USD","-"
"2802","AJINOMOTO INC","Consumer Staples","Equity","467,674.89","0.21","467,674.89","22,100.00","21.16","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"6301","KOMATSU LTD","Industrials","Equity","465,724.58","0.21","465,724.58","14,600.00","31.90","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"9735","SECOM LTD","Industrials","Equity","458,653.86","0.20","458,653.86","12,900.00","35.55","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","453,496.37","0.20","453,496.37","2,098.00","216.16","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"BHP","BHP GROUP LTD","Materials","Equity","451,688.25","0.20","451,688.25","14,890.00","30.33","Australia","Asx - All Markets","USD","1.50","AUD","-"
"8267","AEON LTD","Consumer Staples","Equity","447,217.46","0.20","447,217.46","28,300.00","15.80","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","446,102.27","0.20","446,102.27","18,300.00","24.38","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"LONN","LONZA GROUP AG","Health Care","Equity","445,309.94","0.20","445,309.94","656.00","678.83","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","435,856.41","0.19","435,856.41","15,448.00","28.21","Australia","Asx - All Markets","USD","1.50","AUD","-"
"4204","SEKISUI CHEMICAL LTD","Industrials","Equity","410,182.14","0.18","410,182.14","24,400.00","16.81","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"DSV","DSV","Industrials","Equity","407,076.70","0.18","407,076.70","1,603.00","253.95","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"WTB","WHITBREAD PLC","Consumer Discretionary","Equity","403,010.61","0.18","403,010.61","11,750.00","34.30","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"BIM","BIOMERIEUX SA","Health Care","Equity","402,486.48","0.18","402,486.48","3,107.00","129.54","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BEPC","BROOKFIELD RENEWABLE SUBORDINATE V","Utilities","Equity","398,538.32","0.18","398,538.32","10,376.00","38.41","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"2502","ASAHI GROUP HOLDINGS LTD","Consumer Staples","Equity","392,237.39","0.17","392,237.39","37,500.00","10.46","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"IAG","IA FINANCIAL INC","Financials","Equity","391,660.60","0.17","391,660.60","3,019.00","129.73","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"GMAB","GENMAB","Health Care","Equity","390,445.15","0.17","390,445.15","1,225.00","318.73","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"6383","DAIFUKU LTD","Industrials","Equity","383,563.11","0.17","383,563.11","12,200.00","31.44","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","383,567.13","0.17","383,567.13","3,697.00","103.75","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"BT.A","BT GROUP PLC","Communication","Equity","382,120.71","0.17","382,120.71","154,357.00","2.48","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SIKA","SIKA AG","Materials","Equity","381,537.90","0.17","381,537.90","1,859.00","205.24","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"MONC","MONCLER","Consumer Discretionary","Equity","376,749.14","0.17","376,749.14","5,841.00","64.50","Italy","Borsa Italiana","USD","0.85","EUR","-"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","372,829.77","0.16","372,829.77","15,385.00","24.23","Australia","Asx - All Markets","USD","1.50","AUD","Jan 01, 1998"
"9104","MITSUI OSK LINES LTD","Industrials","Equity","369,600.31","0.16","369,600.31","12,300.00","30.05","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"4911","SHISEIDO LTD","Consumer Staples","Equity","367,688.92","0.16","367,688.92","25,300.00","14.53","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"7974","NINTENDO LTD","Communication","Equity","365,006.86","0.16","365,006.86","5,400.00","67.59","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"JMT","JERONIMO MARTINS SA","Consumer Staples","Equity","358,842.70","0.16","358,842.70","15,081.00","23.79","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.85","EUR","-"
"SUN","SUNCORP GROUP LTD","Financials","Equity","358,252.29","0.16","358,252.29","30,438.00","11.77","Australia","Asx - All Markets","USD","1.50","AUD","-"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Health Care","Equity","356,199.73","0.16","356,199.73","11,413.00","31.21","Israel","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","350,236.26","0.15","350,236.26","7,618.00","45.97","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","347,039.94","0.15","347,039.94","12,728.00","27.27","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"SAF","SAFRAN SA","Industrials","Equity","342,295.80","0.15","342,295.80","980.00","349.28","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BMO","BANK OF MONTREAL","Financials","Equity","341,090.46","0.15","341,090.46","2,623.00","130.04","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"STO","SANTOS LTD","Energy","Equity","332,995.96","0.15","332,995.96","80,933.00","4.11","Australia","Asx - All Markets","USD","1.50","AUD","-"
"AV.","AVIVA PLC","Financials","Equity","324,384.19","0.14","324,384.19","35,238.00","9.21","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","323,087.08","0.14","323,087.08","3,710.00","87.09","Ireland","Irish Stock Exchange - All Market","USD","0.85","EUR","-"
"MOWI","MOWI","Consumer Staples","Equity","322,189.94","0.14","322,189.94","13,363.00","24.11","Norway","Oslo Bors Asa","USD","10.09","NOK","-"
"LUMI","BANK LEUMI LE ISRAEL","Financials","Equity","318,478.18","0.14","318,478.18","14,459.00","22.03","Israel","Tel Aviv Stock Exchange","USD","3.19","ILS","-"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","318,377.91","0.14","318,377.91","13,810.00","23.05","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","315,376.04","0.14","315,376.04","5,926.00","53.22","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"CA","CARREFOUR SA","Consumer Staples","Equity","315,229.73","0.14","315,229.73","18,862.00","16.71","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"7269","SUZUKI MOTOR CORP","Consumer Discretionary","Equity","314,255.32","0.14","314,255.32","21,100.00","14.89","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"CNA","CENTRICA PLC","Utilities","Equity","312,172.94","0.14","312,172.94","136,886.00","2.28","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"POLI","BANK HAPOALIM BM","Financials","Equity","308,966.57","0.14","308,966.57","13,667.00","22.61","Israel","Tel Aviv Stock Exchange","USD","3.19","ILS","-"
"KBX","KNORR BREMSE AG","Industrials","Equity","297,587.37","0.13","297,587.37","2,663.00","111.75","Germany","Xetra","USD","0.85","EUR","-"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Equity","288,243.50","0.13","288,243.50","14,988.00","19.23","Ireland","Irish Stock Exchange - All Market","USD","0.85","EUR","-"
"REA","REA GROUP LTD","Communication","Equity","285,922.49","0.13","285,922.49","2,338.00","122.29","Australia","Asx - All Markets","USD","1.50","AUD","-"
"7832","BANDAI NAMCO HOLDINGS INC","Consumer Discretionary","Equity","284,796.33","0.13","284,796.33","10,700.00","26.62","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"AKZA","AKZO NOBEL NV","Materials","Equity","282,072.82","0.12","282,072.82","4,057.00","69.53","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"SRG","SNAM","Utilities","Equity","278,753.81","0.12","278,753.81","41,964.00","6.64","Italy","Borsa Italiana","USD","0.85","EUR","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","278,516.06","0.12","278,516.06","20,400.00","13.65","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","276,930.26","0.12","276,930.26","1,304.00","212.37","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","276,636.13","0.12","276,636.13","2,991.00","92.49","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"SAMPO","SAMPO CLASS A","Financials","Equity","272,085.90","0.12","272,085.90","22,427.00","12.13","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"RXL","REXEL SA","Industrials","Equity","271,375.01","0.12","271,375.01","6,879.00","39.45","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrials","Equity","271,222.49","0.12","271,222.49","70,195.00","3.86","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","269,379.54","0.12","269,379.54","1,800.00","149.66","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"NHY","NORSK HYDRO","Materials","Equity","264,815.64","0.12","264,815.64","34,158.00","7.75","Norway","Oslo Bors Asa","USD","10.09","NOK","-"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","264,110.32","0.12","264,110.32","400.00","660.28","Germany","Xetra","USD","0.85","EUR","-"
"7735","SCREEN HOLDINGS LTD","Information Technology","Equity","262,515.55","0.12","262,515.55","2,700.00","97.23","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"STERV","STORA ENSO CLASS R","Materials","Equity","258,993.24","0.11","258,993.24","20,600.00","12.57","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"8015","TOYOTA TSUSHO CORP","Industrials","Equity","252,352.55","0.11","252,352.55","7,500.00","33.65","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"GRAB","GRAB HOLDINGS LTD CLASS A","Industrials","Equity","250,912.17","0.11","250,912.17","50,283.00","4.99","Singapore","NASDAQ","USD","1.00","USD","-"
"9433","KDDI CORP","Communication","Equity","250,555.04","0.11","250,555.04","14,500.00","17.28","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ZAL","ZALANDO","Consumer Discretionary","Equity","247,042.43","0.11","247,042.43","8,301.00","29.76","Germany","Xetra","USD","0.85","EUR","-"
"6841","YOKOGAWA ELECTRIC CORP","Information Technology","Equity","246,407.86","0.11","246,407.86","7,700.00","32.00","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"KEY","KEYERA CORP","Energy","Equity","246,329.38","0.11","246,329.38","7,674.00","32.10","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"TLX","TALANX AG","Financials","Equity","245,920.43","0.11","245,920.43","1,840.00","133.65","Germany","Xetra","USD","0.85","EUR","-"
"7013","IHI CORP","Industrials","Equity","242,509.17","0.11","242,509.17","13,800.00","17.57","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"VER","VERBUND AG","Utilities","Equity","240,875.00","0.11","240,875.00","3,308.00","72.82","Austria","Wiener Boerse Ag","USD","0.85","EUR","-"
"11","HANG SENG BANK LTD","Financials","Equity","240,598.70","0.11","240,598.70","12,200.00","19.72","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","234,007.38","0.10","234,007.38","2,148.00","108.94","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NESTE","NESTE","Energy","Equity","230,787.46","0.10","230,787.46","10,124.00","22.80","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"1605","INPEX CORP","Energy","Equity","229,420.40","0.10","229,420.40","11,500.00","19.95","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"HOLN","HOLCIM LTD AG","Materials","Equity","228,397.00","0.10","228,397.00","2,327.00","98.15","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"MEL","MERIDIAN ENERGY LTD","Utilities","Equity","227,912.10","0.10","227,912.10","70,774.00","3.22","New Zealand","New Zealand Exchange Ltd","USD","1.74","NZD","-"
"SDR","SCHRODERS PLC","Financials","Equity","226,452.11","0.10","226,452.11","41,366.00","5.47","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"LDO","LEONARDO FINMECCANICA SPA","Industrials","Equity","224,304.21","0.10","224,304.21","3,885.00","57.74","Italy","Borsa Italiana","USD","0.85","EUR","-"
"STMPA","STMICROELECTRONICS NV","Information Technology","Equity","222,512.38","0.10","222,512.38","8,443.00","26.35","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","217,959.11","0.10","217,959.11","600.00","363.27","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"LUG","LUNDIN GOLD INC","Materials","Equity","216,353.11","0.10","216,353.11","2,601.00","83.18","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"TIT","TELECOM ITALIA","Communication","Equity","211,700.38","0.09","211,700.38","350,827.00","0.60","Italy","Borsa Italiana","USD","0.85","EUR","-"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","209,497.83","0.09","209,497.83","4,054.00","51.68","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"9434","SOFTBANK CORP","Communication","Equity","206,653.10","0.09","206,653.10","150,800.00","1.37","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"DHL","DEUTSCHE POST AG","Industrials","Equity","204,764.92","0.09","204,764.92","3,731.00","54.88","Germany","Xetra","USD","0.85","EUR","-"
"4151","KYOWA KIRIN LTD","Health Care","Equity","196,685.06","0.09","196,685.06","12,200.00","16.12","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","195,768.56","0.09","195,768.56","3,132.00","62.51","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","190,565.56","0.08","190,565.56","2,789.00","68.33","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"QBE","QBE INSURANCE GROUP LTD","Financials","Equity","189,603.83","0.08","189,603.83","14,295.00","13.26","Australia","Asx - All Markets","USD","1.50","AUD","-"
"FMG","FORTESCUE LTD","Materials","Equity","189,264.67","0.08","189,264.67","12,895.00","14.68","Australia","Asx - All Markets","USD","1.50","AUD","-"
"SE","SEA ADS REPRESENTING LTD CLASS A","Consumer Discretionary","Equity","188,548.46","0.08","188,548.46","1,478.00","127.57","Singapore","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","186,618.53","0.08","186,618.53","1,421.00","131.33","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"EBS","ERSTE GROUP BANK AG","Financials","Equity","185,747.84","0.08","185,747.84","1,537.00","120.85","Austria","Wiener Boerse Ag","USD","0.85","EUR","-"
"EVK","EVONIK INDUSTRIES AG","Materials","Equity","180,018.85","0.08","180,018.85","11,473.00","15.69","Germany","Xetra","USD","0.85","EUR","-"
"AMS","AMADEUS IT GROUP SA","Consumer Discretionary","Equity","179,192.32","0.08","179,192.32","2,428.00","73.80","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"SKF B","SKF B","Industrials","Equity","178,188.20","0.08","178,188.20","6,683.00","26.66","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"UMG","UNIVERSAL MUSIC GROUP NV","Communication","Equity","176,934.08","0.08","176,934.08","6,777.00","26.11","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"SSE","SSE PLC","Utilities","Equity","176,320.78","0.08","176,320.78","6,016.00","29.31","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","175,550.65","0.08","175,550.65","12.00","14,629.22","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","174,357.18","0.08","174,357.18","9,680.00","18.01","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"ANTO","ANTOFAGASTA PLC","Materials","Equity","173,946.92","0.08","173,946.92","3,944.00","44.10","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SAAB B","SAAB CLASS B","Industrials","Equity","167,482.45","0.07","167,482.45","2,872.00","58.32","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","166,978.90","0.07","166,978.90","1,063.00","157.08","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"5803","FUJIKURA LTD","Industrials","Equity","166,895.28","0.07","166,895.28","1,500.00","111.26","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"RNO","RENAULT SA","Consumer Discretionary","Equity","166,853.67","0.07","166,853.67","4,011.00","41.60","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"KER","KERING SA","Consumer Discretionary","Equity","165,088.91","0.07","165,088.91","467.00","353.51","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"9143","SG HOLDINGS LTD","Industrials","Equity","162,788.61","0.07","162,788.61","17,800.00","9.15","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ADDT B","ADDTECH CLASS B","Industrials","Equity","162,229.70","0.07","162,229.70","4,568.00","35.51","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","159,578.30","0.07","159,578.30","4,300.00","37.11","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ORSTED","ORSTED A/S","Utilities","Equity","155,274.99","0.07","155,274.99","8,071.00","19.24","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"SW","SODEXO SA","Consumer Discretionary","Equity","149,967.16","0.07","149,967.16","2,922.00","51.32","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"7701","SHIMADZU CORP","Information Technology","Equity","148,909.38","0.07","148,909.38","5,600.00","26.59","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"IPN","IPSEN SA","Health Care","Equity","148,843.92","0.07","148,843.92","1,065.00","139.76","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","148,062.14","0.07","148,062.14","4,800.00","30.85","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"GRF","GRIFOLS SA CLASS A","Health Care","Equity","146,652.40","0.06","146,652.40","11,670.00","12.57","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"ARGX","ARGENX","Health Care","Equity","143,113.78","0.06","143,113.78","170.00","841.85","Belgium","Nyse Euronext - Euronext Brussels","USD","0.85","EUR","-"
"9202","ANA HOLDINGS INC","Industrials","Equity","142,540.43","0.06","142,540.43","7,500.00","19.01","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"6988","NITTO DENKO CORP","Materials","Equity","139,835.40","0.06","139,835.40","5,900.00","23.70","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"BMW3","BMW PREF AG","Consumer Discretionary","Equity","136,584.42","0.06","136,584.42","1,271.00","107.46","Germany","Xetra","USD","0.85","EUR","-"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","131,697.42","0.06","131,697.42","1,534.00","85.85","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","129,784.71","0.06","129,784.71","1,261.00","102.92","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"ROCK B","ROCKWOOL CLASS B","Industrials","Equity","129,613.15","0.06","129,613.15","3,657.00","35.44","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","128,580.62","0.06","128,580.62","78.00","1,648.47","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"27","GALAXY ENTERTAINMENT GROUP LTD","Consumer Discretionary","Equity","128,004.11","0.06","128,004.11","26,000.00","4.92","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"5019","IDEMITSU KOSAN LTD","Energy","Equity","122,266.10","0.05","122,266.10","16,200.00","7.55","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"EFN","ELEMENT FLEET MANAGEMENT CORP","Industrials","Equity","122,134.74","0.05","122,134.74","4,644.00","26.30","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","121,816.52","0.05","121,816.52","14,520.00","8.39","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"NOKIA","NOKIA","Information Technology","Equity","119,022.92","0.05","119,022.92","18,188.00","6.54","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","Jan 01, 1998"
"HO","THALES SA","Industrials","Equity","116,321.99","0.05","116,321.99","431.00","269.89","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"SALM","SALMAR","Consumer Staples","Equity","113,009.02","0.05","113,009.02","1,846.00","61.22","Norway","Oslo Bors Asa","USD","10.09","NOK","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","112,364.94","0.05","112,364.94","2,344.00","47.94","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","107,252.54","0.05","107,252.54","5,800.00","18.49","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"COV","COVIVIO SA","Real Estate","Equity","102,260.59","0.05","102,260.59","1,537.00","66.53","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","100,573.85","0.04","100,573.85","3,163.00","31.80","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Health Care","Equity","98,084.09","0.04","98,084.09","2,717.00","36.10","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","97,640.80","0.04","97,640.80","133,841.00","72.95","Canada","-","USD","1.37","CAD","-"
"4689","LY CORP","Communication","Equity","96,617.82","0.04","96,617.82","36,300.00","2.66","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"4755","RAKUTEN GROUP INC","Consumer Discretionary","Equity","94,158.03","0.04","94,158.03","14,700.00","6.41","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"PHOE","PHOENIX FINANCIAL LTD","Financials","Equity","93,212.39","0.04","93,212.39","2,254.00","41.35","Israel","Tel Aviv Stock Exchange","USD","3.19","ILS","-"
"7270","SUBARU CORP","Consumer Discretionary","Equity","93,135.35","0.04","93,135.35","4,300.00","21.66","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"FUTU","FUTU HOLDINGS ADR LTD","Financials","Equity","90,479.71","0.04","90,479.71","551.00","164.21","Hong Kong","NASDAQ","USD","1.00","USD","-"
"4507","SHIONOGI LTD","Health Care","Equity","88,812.40","0.04","88,812.40","4,900.00","18.12","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"BBD.B","BOMBARDIER INC CLASS B","Industrials","Equity","85,002.01","0.04","85,002.01","499.00","170.34","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"MTX","MTU AERO ENGINES HOLDING AG","Industrials","Equity","81,370.01","0.04","81,370.01","195.00","417.28","Germany","Xetra","USD","0.85","EUR","-"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","80,577.71","0.04","80,577.71","635.00","126.89","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"BPE","BPER BANCA","Financials","Equity","78,213.20","0.03","78,213.20","5,741.00","13.62","Italy","Borsa Italiana","USD","0.85","EUR","-"
"8309","SUMITOMO MITSUI TRUST GROUP INC","Financials","Equity","76,190.63","0.03","76,190.63","2,500.00","30.48","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8001","ITOCHU CORP","Industrials","Equity","75,600.50","0.03","75,600.50","6,000.00","12.60","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"NEXI","NEXI","Financials","Equity","71,613.93","0.03","71,613.93","14,446.00","4.96","Italy","Borsa Italiana","USD","0.85","EUR","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","71,000.00","0.03","71,000.00","71,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"MNDY","MONDAYCOM LTD","Information Technology","Equity","69,648.32","0.03","69,648.32","472.00","147.56","Israel","NASDAQ","USD","1.00","USD","-"
"8729","SONY FINANCIAL GROUP INC","Financials","Equity","62,483.65","0.03","62,483.65","59,000.00","1.06","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"GET","GETLINK","Industrials","Equity","61,685.01","0.03","61,685.01","3,339.00","18.47","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","60,611.89","0.03","60,611.89","9,500,611.00","0.64","Japan","-","USD","156.75","JPY","-"
"5411","JFE HOLDINGS INC","Materials","Equity","59,895.05","0.03","59,895.05","4,700.00","12.74","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8630","SOMPO HOLDINGS INC","Financials","Equity","57,872.34","0.03","57,872.34","1,700.00","34.04","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"HLN","HALEON PLC","Health Care","Equity","57,813.03","0.03","57,813.03","11,468.00","5.04","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","57,819.66","0.03","57,819.66","4,094.00","14.12","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 02, 1985"
"HEI","HEIDELBERG MATERIALS AG","Materials","Equity","57,094.71","0.03","57,094.71","218.00","261.90","Germany","Xetra","USD","0.85","EUR","-"
"9697","CAPCOM LTD","Communication","Equity","55,902.26","0.02","55,902.26","2,400.00","23.29","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","55,791.10","0.02","55,791.10","12,500.00","4.46","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
